f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp
Jose,Beylin,M,605,364-4873,BOX ELDER,SD,57719,M,N,80000,0,0,0,0
Chaiyaporn,Bentaleb,M,208,677-5549,CALDWELL,ID,83606,M,N,65000,7.8,0,6600,0
Arendse,Louis,F,316,691-9749,LEAWOOD,KS,66206,M,N,60000,6.45,0,4500,0
Spyridon,Lagarias,F,802,373-3711,WESTMINSTER STATION,VT,5159,S,N,80000,4.5967627,3300,0,0
Santonu,Klyachko,M,202,748-3037,WASHINGTON,DC,20559,S,Y,60000,9,1370,0,1370
Samaradasa,Litvinov,M,478,473-6130,LITHONIA,GA,30058,S,Y,45000,6,2700,0,3000
Hanmao,Shinagawa,M,402,974-7167,GRETNA,NE,68028,S,Y,70000,6.84,103,0,103
Ando,Koblitz,F,603,184-7650,LINCOLN,NH,3251,S,Y,35000,0,0,0,0
Girome,Cornero,M,319,240-6312,RICEVILLE,IA,50466,M,N,65000,8.98,0,80,0
Hayden,Cooperband,F,856,629-2508,TRENTON,NJ,8603,M,Y,45000,1.7942708,0,2000,1500
Huzur,Worland,F,970,866-5137,SALIDA,CO,81201,M,Y,20000,4.63,0,0,0
Martijn,Tobin,F,769,579-7834,LEXINGTON,MS,39095,S,N,25000,5,6000,0,0
Gaby,Earley,M,801,420-4492,NEWTON,UT,84327,S,Y,60000,7,2475,0,2475
Leonardo,Noik,M,304,633-7582,UNION,WV,24983,M,Y,15000,3.35,0,4000,2000
Chakravarthy,Wick,F,202,442-3472,WASHINGTON,DC,20241,S,Y,45000,9,1370,0,1370
Ardie,Mandiau,F,202,342-6947,WASHINGTON,DC,20207,M,N,85000,9,0,2740,0
Margret,Kann,F,423,578-4165,GRANVILLE,TN,38564,M,Y,40000,0,0,0,0
Yevgeniy,Covan,F,208,222-2506,PRINCETON,ID,83857,M,Y,20000,6.948391,0,6600,3300
Takio,Suessmith,M,573,334-4702,QUEEN CITY,MO,63561,S,Y,10000,6,2100,0,1200
Gezinus,Policriti,F,308,768-3478,STROMSBURG,NE,68666,M,Y,25000,6.5736103,0,206,103
Sakir,Claus,M,602,588-6233,PHOENIX,AZ,85062,M,N,45000,3.4125,0,4200,0
Wladslaw,Wodd,F,701,402-2071,PLAZA,ND,58771,M,N,75000,2.6251287,0,6600,0
Kikuo,Babu,F,540,136-4428,DEWITT,VA,23840,M,Y,85000,5.75,0,1800,900
